,price_aprox_usd,surface_total_in_m2,rooms,price_usd_per_m2,barrio
1686,179000.0,59.0,2.0,3033.898305084746,PALERMO
1688,175000.0,47.0,2.0,3723.404255319149,PALERMO
1690,495000.0,166.0,4.0,2981.927710843373,PALERMO
1692,115000.0,40.0,1.0,2875.0,PALERMO
1694,289000.0,128.0,3.0,2257.8125,PALERMO
1696,140000.0,39.0,1.0,3589.7435897435903,PALERMO
1697,190000.0,68.0,3.0,2794.1176470588234,PALERMO
1701,180000.0,68.0,2.0,2647.058823529412,PALERMO
1702,193800.0,65.0,1.0,2981.538461538461,PALERMO
1703,570000.0,213.0,2.0,2676.0563380281687,PALERMO
1704,210000.0,73.0,2.0,2876.7123287671234,PALERMO
1705,215000.0,80.0,3.0,2687.5,PALERMO
1707,255000.0,60.0,2.0,4250.0,PALERMO
1765,250000.0,77.0,3.0,3246.753246753247,PALERMO
1766,380000.0,120.0,4.0,3166.666666666666,PALERMO
1767,227000.0,63.0,3.0,3603.1746031746034,PALERMO
1768,245000.0,55.0,2.0,4454.545454545455,PALERMO
1770,115046.0,39.0,1.0,2949.897435897436,PALERMO
1772,213988.0,89.0,2.0,2404.3595505617973,PALERMO
1773,189162.0,61.0,2.0,3101.016393442623,PALERMO
1776,215000.0,61.0,3.0,3524.590163934426,PALERMO
1777,220000.0,70.0,3.0,3142.857142857143,PALERMO
1778,210000.0,70.0,2.0,3000.0,PALERMO
1779,160000.0,55.0,2.0,2909.090909090909,PALERMO
1780,145000.0,45.0,2.0,3222.222222222222,PALERMO
1781,148000.0,53.0,3.0,2792.4528301886794,PALERMO
1782,148000.0,53.0,3.0,2792.4528301886794,PALERMO
1783,145000.0,52.0,3.0,2788.4615384615386,PALERMO
1789,207001.0,45.0,2.0,4600.022222222222,PALERMO
1790,150000.0,48.0,3.0,3125.0,PALERMO
1792,385001.0,57.0,2.0,6754.4035087719285,PALERMO
1794,207001.0,45.0,2.0,4600.022222222222,PALERMO
1797,310000.0,67.0,1.0,4626.865671641791,PALERMO
1798,165000.0,54.0,2.0,3055.555555555556,PALERMO
1799,490000.0,175.0,5.0,2800.0,PALERMO
1800,162000.0,55.0,3.0,2945.454545454545,PALERMO
1801,179000.0,63.0,3.0,2841.2698412698405,PALERMO
1802,225000.0,74.0,3.0,3040.540540540541,PALERMO
